Taxa,matched_name2,confidence,canonicalName,kingdom,phylum,class,order,family,genus,species,rank
Abies balsamea,Abies balsamea,99,Abies balsamea,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea,SPECIES
Abies cephalonica,Abies cephalonica,98,Abies cephalonica,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies cephalonica,SPECIES
Abies homolepis,Abies homolepis,99,Abies homolepis,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies homolepis,SPECIES
Abies koreana,Abies koreana,99,Abies koreana,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies koreana,SPECIES
Abies lasiocarpa,Abies lasiocarpa,97,Abies lasiocarpa,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies lasiocarpa,SPECIES
Abies nordmanniana subsp. nordmanniana,Abies nordmanniana nordmanniana,98,Abies nordmanniana nordmanniana,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies nordmanniana,SUBSPECIES
Abies pinsapo,Abies pinsapo,99,Abies pinsapo,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies pinsapo,SPECIES
Abies sibirica,Abies sibirica,97,Abies sibirica,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies sibirica,SPECIES
Abies veitchii,Abies veitchii,99,Abies veitchii,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies veitchii,SPECIES
Abietinella abietina,Abietinella abietina,99,Abietinella abietina,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Abietinella,Abietinella abietina,SPECIES
